###############################################################
#  Generated by:      Cadence Innovus 21.19-s058_1
#  OS:                Linux x86_64(Host ID il2225ht25_jcdavid)
#  Generated on:      Wed Dec 17 12:59:44 2025
#  Design:            drra_wrapper
#  Command:           report_timing     > ${RPT_DIR}/${TOP_NAME}_timing_${con}.txt
###############################################################
Path 1: VIOLATED (-275.289 ps) Setup Check with Pin Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/clk_r_REG151_S1/CLK->D
               View: AVF_RCWORST
              Group: clk
         Startpoint: (R) Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/mode_reg_reg[0]/CLK
              Clock: (R) clk
           Endpoint: (R) Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/clk_r_REG151_S1/D
              Clock: (R) clk

                         Capture        Launch
         Clock Edge:+  16000.000         0.000
        Src Latency:+   -462.055      -462.055
        Net Latency:+    444.400 (P)   566.300 (P)
            Arrival:=  15982.346       104.245

              Setup:-     21.000
        Uncertainty:-    160.000
      Required Time:=  15801.345
       Launch Clock:=    104.245
          Data Path:+  15972.389
              Slack:=   -275.289

#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Timing Point                                                                                                Flags  Arc     Edge  Cell                     Fanout    Trans     Delay     Arrival  
#                                                                                                                                                                      (ps)      (ps)        (ps)  
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/mode_reg_reg[0]/CLK                                        C1C2  CLK     R     (arrival)                   100   91.900         -     104.245  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/mode_reg_reg[0]/Q                                          C1C2  CLK->Q  R     SC8T_DFFRQX1_CSC28L          13   91.900   329.900     434.145  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U705/Z                                                     C1C2  A->Z    F     SC8T_INVX1_CSC28L            10  258.600   218.300     652.445  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U460/Z                                                     C1C2  B->Z    F     SC8T_AN2X1_CSC28L             5  150.200   119.400     771.845  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U96/Z                                                      C1C2  B->Z    R     SC8T_ND2X1_MR_CSC28L          4   69.800    73.400     845.245  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U12/Z                                                      C1C2  A->Z    F     SC8T_INVX2_CSC28L            36   47.500   127.400     972.645  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U97/Z                                                      C1C2  A->Z    R     SC8T_AOI211X1_CSC28L          2  158.600    93.000    1065.645  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U451/Z                                                     C1C2  A->Z    R     SC8T_AN2X1_CSC28L             1   69.900    75.100    1140.745  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U450/Z                                                     C1C2  D->Z    F     SC8T_ND4X1_MR_CSC28L          6   16.900   147.400    1288.145  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U98/Z                                                      C1C2  B->Z    R     SC8T_NR4X1_MR_CSC28L          2  186.400   137.800    1425.945  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U13/Z                                                      C1C2  A->Z    F     SC8T_INVX1_CSC28L             5  104.100    79.500    1505.445  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U_sat_n_round_inst_0/U116/Z                                C1C2  B->Z    R     SC8T_NR2IAX0P5_CSC28L         1   47.400    38.900    1544.345  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U_sat_n_round_inst_0/U115/Z                                C1C2  D1->Z   R     SC8T_MUX2X1_A_CSC28L          1   26.300    60.200    1604.545  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U_sat_n_round_inst_0/U114/Z                                C1C2  B->Z    F     SC8T_ND2X0P5_CSC28L           2   17.300    81.700    1686.245  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U_sat_n_round_inst_0/U85/Z                                 C1C2  A->Z    R     SC8T_ND2X0P5_CSC28L           2   91.900    51.000    1737.245  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U_sat_n_round_inst_0/U84/Z                                 C1C2  A->Z    F     SC8T_INVX0P5_CSC28L           2   34.500    33.900    1771.145  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U_sat_n_round_inst_0/U83/Z                                 C1C2  A->Z    R     SC8T_OAI21X0P5_CSC28L         3   19.000    28.200    1799.345  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U_sat_n_round_inst_0/U82/Z                                 C1C2  A->Z    F     SC8T_OAI21X0P5_CSC28L         3   40.100    70.000    1869.345  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U_sat_n_round_inst_0/U75/Z                                 C1C2  A->Z    F     SC8T_ND2IAX1_CSC28L           3   63.100    72.300    1941.645  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U_sat_n_round_inst_0/U74/Z                                 C1C2  B2->Z   R     SC8T_AOI22X1_CSC28L           1   43.000    52.800    1994.445  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U_sat_n_round_inst_0/U51/Z                                 C1C2  A->Z    F     SC8T_ND2X0P5_CSC28L           6   28.300   157.000    2151.445  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U453/Z                                                     C1C2  A->Z    R     SC8T_INVX1_CSC28L             2  210.500    77.500    2228.945  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U100/Z                                                     C1C2  B->Z    R     SC8T_AN2X1_CSC28L             2   61.400    73.600    2302.545  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U101/Z                                                     C1C2  B->Z    R     SC8T_AN2X1_CSC28L             2   19.900    55.200    2357.745  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U21/Z                                                      C1C2  B->Z    R     SC8T_AN2X1_CSC28L             2   19.300    54.500    2412.245  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U23/Z                                                      C1C2  B->Z    R     SC8T_AN2X1_CSC28L             2   19.500    55.900    2468.145  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U15/Z                                                      C1C2  B->Z    R     SC8T_AN2X1_CSC28L             2   20.700    57.000    2525.145  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U16/Z                                                      C1C2  B->Z    R     SC8T_AN2X1_CSC28L             2   21.400    55.300    2580.445  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U14/Z                                                      C1C2  B->Z    R     SC8T_AN2X1_CSC28L             2   19.500    54.000    2634.445  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U24/Z                                                      C1C2  B->Z    R     SC8T_AN2X1_CSC28L             2   19.400    53.000    2687.445  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U17/Z                                                      C1C2  B->Z    R     SC8T_AN2X1_CSC28L             2   18.100    54.500    2741.945  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U18/Z                                                      C1C2  B->Z    R     SC8T_AN2X1_CSC28L             2   20.100    55.200    2797.146  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U22/Z                                                      C1C2  B->Z    R     SC8T_AN2X1_CSC28L             2   19.700    55.400    2852.546  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U19/Z                                                      C1C2  B->Z    R     SC8T_AN2X1_CSC28L             2   20.500    53.400    2905.946  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U20/Z                                                      C1C2  B->Z    R     SC8T_AN2X1_CSC28L             2   18.000    54.000    2959.946  
  Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/U6/Z                                                       C1C2  B->Z    R     SC8T_AN2X1_CSC28L             1   19.400    50.000    3009.946  
